; ATT_LAY Data File............Version: BETA : 08-25-96


; Modified on November 24, 1998 
;
; WARNING DO NOT ALTER THIS FILE!
;
; Data file structure:
;   1-2   : Discipline & Drawing Type Code
;   4-14  : Base Layer Name
;   16-30 : NEWW Linetype  (also for "nil suffix")
;   32-34 : NEWW Color Num (also for "nil suffix")
;   36-50 : EXST Linetype
;   52-54 : EXST Color Num
;   56-70 : DEMO Linetype
;   72-74 : DEMO Color Num
;   76-90 : FUTR Linetype
;   92-94 : FUTR Color Num
;

;        1         2         3         4         5         6         7         8         9
;234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234
;  |         = |             = | = |             = | = |             = | = |             = | =
ED E-DLIN-ESSN Continuous        6 Continuous        7 Dashed           40
ED E-DLIN-FUTR Dashed            2 Dashed            7 Dashed           40
ED E-DLIN-ITLK Hidden           70 Hidden            7 Dashed           40
ED E-DLIN-LGND Continuous        4 Continuous        7 Dashed           40
ED E-DLIN-NODE Continuous        4 Continuous        7 Dashed           40
ED E-DLIN-NOTE Continuous        4 Continuous        7 Dashed           40
ED E-DLIN-PROT Continuous        1 Continuous        7 Dashed           40
EO E-MLIN-COMM Continuous        4 Continuous        7 Dashed           40
EO E-MLIN-ENCL Phantom         252 Phantom           7 Dashed           40
EO E-MLIN-ESSN Continuous        6 Continuous        7 Dashed           40
EO E-MLIN-FUTR Dashed            5 Dashed            7 Dashed           40
EO E-MLIN-ITLK Hidden            3 Hidden            7 Dashed           40
EO E-MLIN-LGND Continuous        4 Continuous        7 Dashed           40
EO E-MLIN-NODE Continuous        4 Continuous        7 Dashed           40
EO E-MLIN-NOTE Continuous        4 Continuous        7 Dashed           40
EO E-MLIN-PROT Continuous        1 Continuous        7 Dashed           40
ER E-RISR-COMM Continuous        4 Continuous        7 Dashed           40
ER E-RISR-ENCL Phantom         252 Phantom          7 Dashed            40
ER E-RISR-ESSN Continuous        6 Continuous        7 Dashed           40
ER E-RISR-FUTR Dashed            5 Dashed            7 Dashed           40
ER E-RISR-ITLK Hidden           70 Hidden            7 Dashed           40
ER E-RISR-LGND Continuous        4 Continuous        7 Dashed           40
ER E-RISR-NOTE Continuous        4 Continuous        7 Dashed           40
ER E-RISR-PROT Continuous        1 Continuous        7 Dashed           40
EG E-GRND-CEIL Continuous        4 Continuous        7 Dashed           40
EG E-GRND-CIRC Continuous        1 Continuous        7 Dashed           40
EG E-GRND-CIRF DashDot           1 DashDot           7 Dashed           40
EG E-GRND-EXTR Continuous        1 Continuous        7 Dashed           40
EG E-GRND-LTNG Continuous        1 Continuous        7 Dashed           40
EG E-GRND-NOTE Continuous        4 Continuous        7 Dashed           40
EG E-GRND-RAIS DashDot           4 DashDot           7 Dashed           40
EG E-GRND-URAC Dashed            1 Dashed            7 Dashed           40
EG E-GRND-WALL Continuous        4 Continuous        7 Dashed           40
EI E-LITE-CIRC Continuous        1 Continuous        7 Dashed           40
EI E-LITE-CIRF DashDot           1 DashDot           7 Dashed           40
EI E-LITE-CLNG Continuous        4 Continuous        7 Dashed           40
EI E-LITE-DIMS Continuous      252 Continuous        7 Dashed           40
EI E-LITE-EXTR Continuous        4 Continuous        7 Dashed           40
EI E-LITE-FUTR Dashed            5 Dashed            7 Dashed           40
EI E-LITE-NOTE Continuous        4 Continuous        7 Dashed           40
EI E-LITE-RAIS Continuous        4 Continuous        7 Dashed           40
EI E-LITE-URAC Dashed            1 Dashed            7 Dashed           40
EI E-LITE-WALL Continuous        4 Continuous        7 Dashed           40
EP E-POWR-BUSW Continuous        1 Continuous        7 Dashed           40
EP E-POWR-CIRC Continuous        1 Continuous        7 Dashed           40
EP E-POWR-CIRF DashDot           1 DashDot           7 Dashed           40
EP E-POWR-CLNG Continuous        4 Continuous        7 Dashed           40
EP E-POWR-DIMS Continuous      252 Continuous        7 Dashed           40
EP E-POWR-EQPM Continuous        4 Continuous        7 Dashed           40
EP E-POWR-FLOR Continuous        4 Continuous        7 Dashed           40
EP E-POWR-FUTR Dashed            5 Dashed            7 Dashed           40
EP E-POWR-NOTE Continuous        4 Continuous        7 Dashed           40
EP E-POWR-RAIS DashDot           4 DashDot           7 Dashed           40
EP E-POWR-URAC Dashed            1 Dashed            7 Dashed           40
EP E-POWR-WALL Continuous        4 Continuous        7 Dashed           40
FR F-RISR-CRDX Continuous        1 Continuous        7 Dashed           40
FR F-RISR-FOAM Continuous        4 Continuous        7 Dashed           40
FR F-RISR-HALN Continuous        6 Continuous        7 Dashed           40
FR F-RISR-NOTE Continuous        4 Continuous        7 Dashed           40
FR F-RISR-WATR Continuous       70 Continuous        7 Dashed           40
FA F-ALRM-CIRF DashDot           1 DashDot           7 Dashed           40
FA F-ALRM-DEVC Continuous        4 Continuous        7 Dashed           40
FA F-ALRM-DIMS Continuous      252 Continuous        7 Dashed           40
FA F-ALRM-FUTR Dashed            4 Dashed            7 Dashed           40
FA F-ALRM-NOTE Continuous        4 Continuous        7 Dashed           40
FA F-ALRM-UDEV Continuous        4 Continuous        7 Dashed           40
FA F-ALRM-URAC Dashed            1 Dashed            7 Dashed           40
FA F-ALRM-WIRE Continuous        1 Continuous        7 Dashed           40
FA F-VESD-PIPE Continuous        1 Continuous        7 Dashed           40
FA F-VESD-SAMP Continuous        4 Continuous        7 Dashed           40
FA F-VESD-UPIP DashDot           1 DashDot           7 Dashed           40
FA F-VESD-USAM DashDot           4 DashDot           7 Dashed           40
FS F-SPRN-DIMS Continuous      252 Continuous        7 Dashed           40
FS F-SPRN-EQPM Continuous        4 Continuous        7 Dashed           40
FS F-SPRN-FUTR Dashed            4 Dashed            7 Dashed           40
FS F-SPRN-HEAD Continuous        4 Continuous        7 Dashed           40
FS F-SPRN-NOTE Continuous        4 Continuous        7 Dashed           40
FS F-SPRN-PIPE Continuous        1 Continuous        7 Dashed           40
MA M-APID-AIRH Continuous        5 Continuous        7 Dashed           40
MA M-APID-CTLE Continuous        1 Continuous        7 Dashed           40
MA M-APID-CTLH Continuous        6 Continuous        7 Dashed           40
MA M-APID-CTLP Continuous      251 Continuous        7 Dashed           40
MA M-APID-CWTR Continuous        3 Continuous        7 Dashed           40
MA M-APID-DWTR Continuous        4 Continuous        7 Dashed           40
MA M-APID-FDES Dashed          252 Dashed            7 Dashed           40
MA M-APID-FOIL Continuous        4 Continuous        7 Dashed           40
MA M-APID-HOTW Continuous        1 Continuous        7 Dashed           40
MA M-APID-INST Continuous      251 Continuous        7 Dashed           40
MA M-APID-ITLK Hidden          252 Hidden            7 Dashed           40
MA M-APID-NGAS Continuous        4 Continuous        7 Dashed           40
MA M-APID-NOTE Continuous        4 Continuous        7 Dashed           40
MA M-APID-STEM Continuous        6 Continuous        7 Dashed           40
MC M-CPID-AIRH Continuous        5 Continuous        7 Dashed           40
MC M-CPID-CTLE Continuous        1 Continuous        7 Dashed           40
MC M-CPID-CTLH Continuous        6 Continuous        7 Dashed           40
MC M-CPID-CTLP Continuous      251 Continuous        7 Dashed           40
MC M-CPID-CWTR Continuous        3 Continuous        7 Dashed           40
MC M-CPID-DWTR Continuous        4 Continuous        7 Dashed           40
MC M-CPID-FDES Dashed          252 Dashed            7 Dashed           40
MC M-CPID-FOIL Continuous        4 Continuous        7 Dashed           40
MC M-CPID-HOTW Continuous        1 Continuous        7 Dashed           40
MC M-CPID-INST Continuous      251 Continuous        7 Dashed           40
MC M-CPID-ITLK Hidden          252 Hidden            7 Dashed           40
MC M-CPID-NGAS Continuous        4 Continuous        7 Dashed           40
MC M-CPID-NOTE Continuous        4 Continuous        7 Dashed           40
